lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PANYIRAPAN",-7.049.881,107.521.854,2272.94,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, SUKANAGARA",-7.065.081,107.518.936,2267.37,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CUKANGGENTENG",-7.079.423,107.499.905,2269.68,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CISONDARI",-7.127.131,107.488.809,2216.54,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MARGAMULYA",-7.130.081,107.459.001,2383.19,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, NENGKELAN",-7.064.169,107.463.958,147.741,6,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANUNDAAN",-7.120.492,10.744.017,2527.76,9,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, RAWABOGO",-705.837,107.444.787,2336.46,5,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, SUKAWENING",-7.066.873,107.475.166,2290.97,1,7,3,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, PATENGAN",-7.164.693,107.358.675,3118.86,1,7,5,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, CIPELAH",-7.171.003,107.294.264,367.467,1,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, ALAMENDAH",-7.141.538,107.422.195,2760.99,1,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PANYIRAPAN",-7.049.881,107.521.854,2272.94,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, SUKANAGARA",-7.065.081,107.518.936,2267.37,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CUKANGGENTENG",-7.079.423,107.499.905,2269.68,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CISONDARI",-7.127.131,107.488.809,2216.54,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MARGAMULYA",-7.130.081,107.459.001,2383.19,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, NENGKELAN",-7.064.169,107.463.958,147.741,6,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANUNDAAN",-7.120.492,10.744.017,2527.76,9,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, RAWABOGO",-705.837,107.444.787,2336.46,5,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, SUKAWENING",-7.066.873,107.475.166,2290.97,1,7,3,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, PATENGAN",-7.164.693,107.358.675,3118.86,1,7,5,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, CIPELAH",-7.171.003,107.294.264,367.467,1,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, ALAMENDAH",-7.141.538,107.422.195,2760.99,1,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PANYIRAPAN",-7.049.881,107.521.854,2272.94,1,5,3,0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, SUKANAGARA",-7.065.081,107.518.936,2267.37,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CUKANGGENTENG",-7.079.423,107.499.905,2269.68,5,5,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CISONDARI",-7.127.131,107.488.809,2216.54,7,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MARGAMULYA",-7.130.081,107.459.001,2383.19,5,3,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, NENGKELAN",-7.064.169,107.463.958,147.741,6,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANUNDAAN",-7.120.492,10.744.017,2527.76,9,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, RAWABOGO",-705.837,107.444.787,2336.46,5,7,3,1
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, SUKAWENING",-7.066.873,107.475.166,2290.97,1,7,3,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, PATENGAN",-7.164.693,107.358.675,3118.86,1,7,5,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, CIPELAH",-7.171.003,107.294.264,367.467,1,7,1,0
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, ALAMENDAH",-7.141.538,107.422.195,2760.99,1,1,4,0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, PASIRJAMBU",-7.088.203,107.471.956,2305.87,9,1,3,0
